id;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia
471633;01/01/2009;Quinta;04:10:00;RJ;101;332.0;RIO DE JANEIRO;Outras;Colisao lateral;Sem Vitimas;Plena noite
471641;01/01/2009;Quinta;04:00:00;RJ;101;322.0;NITEROI;Falta de atencao;Colisao traseira;Sem Vitimas;Plena noite
471795;01/01/2009;Quinta;06:20:00;RJ;101;299.0;SAO GONCALO;Outras;Atropelamento de pessoa;Com Vitimas Feridas;Pleno dia
472105;02/01/2009;Sexta;10:34:00;RJ;101;334.0;RIO DE JANEIRO;Outras;Colisao traseira;Sem Vitimas;Pleno dia
472265;02/01/2009;Sexta;18:45:00;RJ;101;321.0;NITEROI;Outras;Colisao com objeto fixo;Sem Vitimas;Pleno dia
472299;02/01/2009;Sexta;19:00:00;RJ;101;329.0;NITEROI;Outras;Colisao traseira;Sem Vitimas;Plena noite
472360;02/01/2009;Sexta;22:25:00;RJ;101;322.0;NITEROI;Velocidade incompativel;Colisao com objeto fixo;Com Vitimas Feridas;Plena noite
472512;03/01/2009;Sabado;10:10:00;RJ;101;323.0;NITEROI;Falta de atencao;Colisao traseira;Sem Vitimas;Pleno dia
472513;03/01/2009;Sabado;10:10:00;RJ;101;322.0;NITEROI;Nao guardar distancia de seguranca;Colisao traseira;Sem Vitimas;Pleno dia
473636;05/01/2009;Segunda;16:50:00;RJ;101;321.0;NITEROI;Outras;Colisao lateral;Sem Vitimas;Pleno dia
473644;05/01/2009;Segunda;16:40:00;RJ;101;314.0;SAO GONCALO;Falta de atencao;Colisao lateral;Com Vitimas Feridas;Pleno dia
473728;04/01/2009;Domingo;06:40:00;RJ;101;315.0;SAO GONCALO;Outras;Colisao traseira;Sem Vitimas;Pleno dia
473732;05/01/2009;Segunda;19:30:00;RJ;101;318.0;SAO GONCALO;Ultrapassagem indevida;Colisao lateral;Com Vitimas Feridas;Plena noite
473941;02/01/2009;Sexta;17:20:00;RJ;101;321.0;NITEROI;Outras;Colisao lateral;Sem Vitimas;Anoitecer
473942;06/01/2009;Terca;08:00:00;RJ;101;314.0;SAO GONCALO;Outras;Colisao traseira;Sem Vitimas;Pleno dia
474155;02/01/2009;Sexta;19:20:00;RJ;101;322.0;NITEROI;Outras;Colisao traseira;Sem Vitimas;Anoitecer
474835;08/01/2009;Quinta;07:35:00;RJ;101;329.0;RIO DE JANEIRO;Outras;Colisao lateral;Sem Vitimas;Pleno dia
474855;08/01/2009;Quinta;16:30:00;RJ;101;321.0;NITEROI;Falta de atencao;Colisao traseira;Sem Vitimas;Pleno dia
474889;08/01/2009;Quinta;17:15:00;RJ;101;323.0;NITEROI;Falta de atencao;Colisao lateral;Sem Vitimas;Pleno dia
475362;09/01/2009;Sexta;20:25:00;RJ;101;318.0;SAO GONCALO;Falta de atencao;Colisao traseira;Sem Vitimas;Plena noite
475673;10/01/2009;Sabado;07:00:00;RJ;101;322.0;NITEROI;Falta de atencao;Colisao traseira;Sem Vitimas;Pleno dia
475679;10/01/2009;Sabado;15:10:00;RJ;101;322.0;NITEROI;Falta de atencao;Colisao traseira;Sem Vitimas;Pleno dia
475682;10/01/2009;Sabado;15:30:00;RJ;101;324.0;NITEROI;Falta de atencao;Colisao lateral;Sem Vitimas;Pleno dia
475691;10/01/2009;Sabado;14:15:00;RJ;101;327.0;NITEROI;Falta de atencao;Colisao lateral;Com Vitimas Feridas;Pleno dia
475694;10/01/2009;Sabado;14:15:00;RJ;101;327.0;NITEROI;Falta de atencao;Colisao traseira;Com Vitimas Feridas;Pleno dia
475720;06/01/2009;Terca;17:15:00;RJ;101;306.0;SAO GONCALO;Outras;Atropelamento de pessoa;Com Vitimas Fatais;Pleno dia
475787;07/01/2009;Quarta;16:40:00;RJ;101;303.0;SAO GONCALO;Outras;Saida de Pista;Sem Vitimas;Pleno dia
475919;11/01/2009;Domingo;07:00:00;RJ;101;333.0;RIO DE JANEIRO;Outras;Colisao com objeto fixo;Sem Vitimas;Amanhecer
476275;12/01/2009;Segunda;05:45:00;RJ;101;334.0;RIO DE JANEIRO;Outras;Colisao com objeto fixo;Com Vitimas Fatais;Plena noite
476348;12/01/2009;Segunda;08:50:00;RJ;101;314.0;SAO GONCALO;Falta de atencao;Colisao traseira;Com Vitimas Feridas;Pleno dia
476501;12/01/2009;Segunda;11:25:00;RJ;101;316.0;SAO GONCALO;Falta de atencao;Colisao lateral;Com Vitimas Feridas;Pleno dia
476660;12/01/2009;Segunda;23:00:00;RJ;101;334.0;NITEROI;Falta de atencao;Colisao com objeto fixo;Sem Vitimas;Pleno dia
476674;13/01/2009;Terca;02:00:00;RJ;101;333.0;RIO DE JANEIRO;Falta de atencao;Colisao traseira;Com Vitimas Feridas;Plena noite
476745;05/01/2009;Segunda;16:30:00;RJ;101;310.0;SAO GONCALO;Outras;Colisao lateral;Sem Vitimas;Pleno dia
477138;06/01/2009;Terca;08:30:00;RJ;101;318.0;SAO GONCALO;Outras;Colisao traseira;Sem Vitimas;Pleno dia
477173;14/01/2009;Quarta;08:20:00;RJ;101;329.0;RIO DE JANEIRO;Falta de atencao;Colisao traseira;Sem Vitimas;Pleno dia
477272;10/01/2009;Sabado;16:40:00;RJ;101;320.0;NITEROI;Outras;Colisao traseira;Sem Vitimas;Pleno dia
477297;14/01/2009;Quarta;08:40:00;RJ;101;322.0;NITEROI;Outras;Colisao traseira;Com Vitimas Feridas;Pleno dia
477345;10/01/2009;Sabado;11:20:00;RJ;101;326.0;NITEROI;Outras;Colisao traseira;Sem Vitimas;Pleno dia
477443;09/01/2009;Sexta;11:55:00;RJ;101;324.0;NITEROI;Outras;Colisao traseira;Com Vitimas Feridas;Pleno dia
477581;09/01/2009;Sexta;20:30:00;RJ;101;323.0;NITEROI;Falta de atencao;Colisao traseira;Sem Vitimas;Plena noite
477589;09/01/2009;Sexta;18:00:00;RJ;101;328.0;RIO DE JANEIRO;Falta de atencao;Colisao lateral;Com Vitimas Feridas;Pleno dia
477602;15/01/2009;Quinta;12:45:00;RJ;101;332.0;RIO DE JANEIRO;Outras;Colisao traseira;Sem Vitimas;Pleno dia
477604;13/01/2009;Terca;15:00:00;RJ;101;321.0;NITEROI;Falta de atencao;Colisao lateral;Sem Vitimas;Pleno dia
477764;12/01/2009;Segunda;08:30:00;RJ;101;316.0;SAO GONCALO;Falta de atencao;Colisao traseira;Sem Vitimas;Pleno dia
477959;16/01/2009;Sexta;10:40:00;RJ;101;323.0;NITEROI;Falta de atencao;Colisao traseira;Sem Vitimas;Pleno dia
478243;16/01/2009;Sexta;23:30:00;RJ;101;322.0;NITEROI;Falta de atencao;Colisao lateral;Sem Vitimas;Plena noite
478291;17/01/2009;Sabado;02:00:00;RJ;101;334.0;RIO DE JANEIRO;Outras;Capotamento;Com Vitimas Feridas;Plena noite
478389;16/01/2009;Sexta;21:30:00;RJ;101;309.0;SAO GONCALO;Outras;Capotamento;Sem Vitimas;Plena noite
478408;10/01/2009;Sabado;05:40:00;RJ;101;322.0;NITEROI;Falta de atencao;Atropelamento de pessoa;Com Vitimas Feridas;Plena noite
478426;17/01/2009;Sabado;06:00:00;RJ;101;322.0;NITEROI;Falta de atencao;Colisao traseira;Sem Vitimas;Pleno dia
478499;17/01/2009;Sabado;10:30:00;RJ;101;301.0;SAO GONCALO;Falta de atencao;Colisao traseira;Sem Vitimas;Pleno dia
478507;17/01/2009;Sabado;05:55:00;RJ;101;311.0;SAO GONCALO;Ultrapassagem indevida;Colisao lateral;Sem Vitimas;Amanhecer
478524;13/01/2009;Terca;18:30:00;RJ;101;327.0;RIO DE JANEIRO;Falta de atencao;Colisao traseira;Sem Vitimas;Pleno dia
478714;18/01/2009;Domingo;04:50:00;RJ;101;320.0;NITEROI;Falta de atencao;Capotamento;Com Vitimas Feridas;Plena noite
478728;09/01/2009;Sexta;20:45:00;RJ;101;321.0;NITEROI;Outras;Colisao traseira;Sem Vitimas;Plena noite
478753;14/01/2009;Quarta;07:30:00;RJ;101;329.0;RIO DE JANEIRO;Outras;Colisao lateral;Com Vitimas Feridas;Pleno dia
478848;18/01/2009;Domingo;12:40:00;RJ;101;323.0;NITEROI;Outras;Colisao lateral;Sem Vitimas;Pleno dia
479008;09/01/2009;Sexta;04:30:00;RJ;101;304.0;SAO GONCALO;Outras;Capotamento;Com Vitimas Feridas;Plena noite
479019;16/01/2009;Sexta;16:00:00;RJ;101;306.0;SAO GONCALO;Outras;Atropelamento de pessoa;Com Vitimas Feridas;Pleno dia
479040;18/01/2009;Domingo;10:40:00;RJ;101;326.0;NITEROI;Outras;Colisao traseira;Sem Vitimas;Amanhecer
479132;14/01/2009;Quarta;18:00:00;RJ;101;322.0;NITEROI;Outras;Colisao traseira;Sem Vitimas;Pleno dia
479164;19/01/2009;Segunda;06:25:00;RJ;101;311.0;SAO GONCALO;Falta de atencao;Colisao traseira;Sem Vitimas;Amanhecer
479173;16/01/2009;Sexta;14:00:00;RJ;101;306.0;SAO GONCALO;Outras;Atropelamento de pessoa;Com Vitimas Feridas;Pleno dia
479176;10/01/2009;Sabado;06:00:00;RJ;101;334.0;RIO DE JANEIRO;Outras;Colisao com objeto fixo;Sem Vitimas;Pleno dia
479188;09/01/2009;Sexta;14:40:00;RJ;101;323.0;NITEROI;Outras;Colisao traseira;Sem Vitimas;Pleno dia
479219;09/01/2009;Sexta;16:30:00;RJ;101;320.0;NITEROI;Outras;Colisao traseira;Sem Vitimas;Pleno dia
479326;19/01/2009;Segunda;14:20:00;RJ;101;321.0;NITEROI;Nao guardar distancia de seguranca;Colisao lateral;Sem Vitimas;Pleno dia
479351;14/01/2009;Quarta;08:00:00;RJ;101;322.0;NITEROI;Outras;Colisao traseira;Sem Vitimas;Pleno dia
479413;19/01/2009;Segunda;15:30:00;RJ;101;334.0;RIO DE JANEIRO;Nao guardar distancia de seguranca;Colisao traseira;Sem Vitimas;Pleno dia
479414;19/01/2009;Segunda;17:10:00;RJ;101;322.0;NITEROI;Outras;Colisao lateral;Sem Vitimas;Pleno dia
479424;19/01/2009;Segunda;07:15:00;RJ;101;318.0;SAO GONCALO;Falta de atencao;Colisao traseira;Sem Vitimas;Pleno dia
479679;09/01/2009;Sexta;18:00:00;RJ;101;326.0;RIO DE JANEIRO;Falta de atencao;Colisao traseira;Sem Vitimas;Anoitecer
479886;20/01/2009;Terca;18:00:00;RJ;101;320.0;NITEROI;Outras;Colisao lateral;Sem Vitimas;Pleno dia
480107;18/01/2009;Domingo;02:36:00;RJ;101;325.0;NITEROI;Outras;Colisao traseira;Sem Vitimas;Plena noite
480130;21/01/2009;Quarta;08:30:00;RJ;101;314.0;SAO GONCALO;Outras;Saida de Pista;Sem Vitimas;Pleno dia
480139;17/01/2009;Sabado;21:50:00;RJ;101;333.0;RIO DE JANEIRO;Outras;Colisao com objeto fixo;Com Vitimas Feridas;Plena noite
480267;09/01/2009;Sexta;06:10:00;RJ;101;321.0;NITEROI;Outras;Atropelamento de pessoa;Com Vitimas Fatais;Amanhecer
480294;21/01/2009;Quarta;14:00:00;RJ;101;313.0;SAO GONCALO;Falta de atencao;Colisao lateral;Sem Vitimas;Pleno dia
480465;21/01/2009;Quarta;23:00:00;RJ;101;322.0;NITEROI;Falta de atencao;Colisao lateral;Sem Vitimas;Plena noite
480511;21/01/2009;Quarta;21:00:00;RJ;101;314.0;SAO GONCALO;Outras;Colisao lateral;Sem Vitimas;Plena noite
480834;09/01/2009;Sexta;16:40:00;RJ;101;307.0;SAO GONCALO;Falta de atencao;Colisao com objeto fixo;Sem Vitimas;Pleno dia
480855;21/01/2009;Quarta;16:00:00;RJ;101;315.0;SAO GONCALO;Falta de atencao;Colisao traseira;Sem Vitimas;Pleno dia
480884;23/01/2009;Sexta;00:20:00;RJ;101;322.0;NITEROI;Outras;Colisao traseira;Sem Vitimas;Plena noite
480966;23/01/2009;Sexta;07:50:00;RJ;101;318.0;NITEROI;Outras;Colisao lateral;Sem Vitimas;Pleno dia
481024;23/01/2009;Sexta;10:31:00;RJ;101;329.0;RIO DE JANEIRO;Outras;Colisao traseira;Com Vitimas Feridas;Pleno dia
481130;23/01/2009;Sexta;16:30:00;RJ;101;321.0;NITEROI;Nao guardar distancia de seguranca;Colisao lateral;Sem Vitimas;Pleno dia
481174;23/01/2009;Sexta;18:00:00;RJ;101;323.0;NITEROI;Nao guardar distancia de seguranca;Colisao traseira;Sem Vitimas;Anoitecer
481188;23/01/2009;Sexta;18:30:00;RJ;101;311.0;SAO GONCALO;Falta de atencao;Saida de Pista;Com Vitimas Feridas;Anoitecer
481352;24/01/2009;Sabado;01:15:00;RJ;101;316.0;SAO GONCALO;Defeito mecanico em veiculo;Colisao com objeto movel;Sem Vitimas;Plena noite
481625;16/01/2009;Sexta;16:20:00;RJ;101;323.0;NITEROI;Falta de atencao;Colisao traseira;Sem Vitimas;Pleno dia
481742;18/01/2009;Domingo;04:40:00;RJ;101;320.0;NITEROI;Outras;Danos Eventuais;Sem Vitimas;Plena noite
481748;23/01/2009;Sexta;21:30:00;RJ;101;318.0;SAO GONCALO;Outras;Queda de motocicleta / bicicleta / veiculo;Com Vitimas Feridas;Plena noite
481770;25/01/2009;Domingo;10:00:00;RJ;101;325.0;NITEROI;Outras;Colisao traseira;Sem Vitimas;Pleno dia
481859;17/01/2009;Sabado;06:55:00;RJ;101;323.0;NITEROI;Outras;Colisao traseira;Sem Vitimas;Pleno dia
482002;25/01/2009;Domingo;18:19:00;RJ;101;322.0;NITEROI;Falta de atencao;Colisao traseira;Sem Vitimas;Pleno dia
482113;14/01/2009;Quarta;18:00:00;RJ;101;322.0;NITEROI;Outras;Colisao traseira;Sem Vitimas;Anoitecer
482127;25/01/2009;Domingo;00:55:00;RJ;101;306.0;SAO GONCALO;Outras;Saida de Pista;Com Vitimas Feridas;Plena noite
482179;26/01/2009;Segunda;06:00:00;RJ;101;310.0;SAO GONCALO;Falta de atencao;Colisao com bicicleta;Com Vitimas Feridas;Amanhecer
482249;21/01/2009;Quarta;20:00:00;RJ;101;328.0;NITEROI;Falta de atencao;Colisao traseira;Sem Vitimas;Plena noite
