id;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia
184258.0;2019-01-09;quarta-feira;19:30:00;RJ;101;313.0;SAO GONCALO;Falta de Atencao a Conducao;Colisao traseira;Com Vitimas Feridas;Plena Noite
187101.0;2019-01-24;quinta-feira;06:08:00;RJ;101;324.0;NITEROI;Defeito Mecanico no Veiculo;Tombamento;Com Vitimas Feridas;Amanhecer
187383.0;2019-01-25;sexta-feira;14:45:00;RJ;101;326.0;NITEROI;Nao guardar distancia de seguranca;Colisao traseira;Com Vitimas Feridas;Pleno dia
189779.0;2019-02-06;quarta-feira;22:20:00;RJ;101;320.0;NITEROI;Falta de Atencao a Conducao;Colisao traseira;Com Vitimas Feridas;Plena Noite
193169.0;2019-02-23;sabado;17:30:00;RJ;101;322.0;NITEROI;Falta de Atencao a Conducao;Colisao com objeto estatico;Sem Vitimas;Pleno dia
199543.0;2019-03-27;quarta-feira;13:00:00;RJ;101;315.0;SAO GONCALO;Nao guardar distancia de seguranca;Engavetamento;Com Vitimas Feridas;Pleno dia
200017.0;2019-03-30;sabado;02:00:00;RJ;101;309.0;SAO GONCALO;Nao guardar distancia de seguranca;Colisao traseira;Com Vitimas Feridas;Plena Noite
201285.0;2019-01-15;terca-feira;13:50:00;RJ;101;311.0;SAO GONCALO;Falta de Atencao a Conducao;Colisao lateral;Com Vitimas Feridas;Pleno dia
201531.0;2019-04-06;sabado;08:45:00;RJ;101;326.0;NITEROI;Falta de Atencao a Conducao;Colisao traseira;Com Vitimas Feridas;Pleno dia
204116.0;2019-04-10;quarta-feira;14:29:00;RJ;101;331.0;RIO DE JANEIRO;Falta de Atencao a Conducao;Colisao traseira;Com Vitimas Feridas;Pleno dia
204217.0;2019-04-18;quinta-feira;23:17:00;RJ;101;327.0;NITEROI;Falta de Atencao a Conducao;Colisao traseira;Com Vitimas Feridas;Plena Noite
206667.0;2019-02-19;terca-feira;16:33:00;RJ;101;303.0;SAO GONCALO;Nao guardar distancia de seguranca;Colisao lateral;Com Vitimas Feridas;Pleno dia
207352.0;2019-05-04;sabado;22:15:00;RJ;101;309.0;SAO GONCALO;Agressao Externa;Colisao lateral;Com Vitimas Feridas;Plena Noite
212471.0;2019-05-30;quinta-feira;02:05:00;RJ;101;299.0;SAO GONCALO;Falta de Atencao a Conducao;Colisao traseira;Com Vitimas Feridas;Plena Noite
215581.0;2019-06-14;sexta-feira;13:10:00;RJ;101;322.0;NITEROI;Falta de Atencao a Conducao;Colisao traseira;Com Vitimas Feridas;Pleno dia
224690.0;2019-07-26;sexta-feira;07:40:00;RJ;101;320.0;NITEROI;Falta de Atencao a Conducao;Colisao traseira;Com Vitimas Feridas;Pleno dia
226834.0;2019-08-05;segunda-feira;08:50:00;RJ;101;317.3;SAO GONCALO;Falta de Atencao a Conducao;Colisao lateral;Com Vitimas Feridas;Pleno dia
227168.0;2019-08-07;quarta-feira;08:39:00;RJ;101;326.0;NITEROI;Falta de Atencao a Conducao;Colisao traseira;Sem Vitimas;Pleno dia
228662.0;2019-08-14;quarta-feira;06:25:00;RJ;101;309.0;SAO GONCALO;Velocidade Incompativel;Colisao com objeto estatico;Com Vitimas Feridas;Pleno dia
230355.0;2019-08-22;quinta-feira;09:00:00;RJ;101;321.0;NITEROI;Desobediencia as normas de transito pelo condutor;Queda de ocupante de veiculo;Com Vitimas Fatais;Pleno dia
231309.0;2019-08-27;terca-feira;07:12:00;RJ;101;321.0;NITEROI;Falta de Atencao a Conducao;Colisao lateral;Com Vitimas Feridas;Pleno dia
231336.0;2019-08-26;segunda-feira;21:30:00;RJ;101;303.0;SAO GONCALO;Falta de Atencao a Conducao;Colisao traseira;Com Vitimas Feridas;Plena Noite
233243.0;2019-09-05;quinta-feira;06:22:00;RJ;101;322.0;NITEROI;Falta de Atencao a Conducao;Colisao traseira;Sem Vitimas;Pleno dia
237941.0;2019-09-25;quarta-feira;14:40:00;RJ;101;334.0;RIO DE JANEIRO;Falta de Atencao a Conducao;Colisao lateral;Com Vitimas Feridas;Pleno dia
239407.0;2019-10-01;terca-feira;14:51:00;RJ;101;300.0;SAO GONCALO;Falta de Atencao do Pedestre;Atropelamento de Pedestre;Com Vitimas Feridas;Pleno dia
239696.0;2019-10-02;quarta-feira;15:28:00;RJ;101;320.0;NITEROI;Velocidade Incompativel;Colisao lateral;Com Vitimas Feridas;Pleno dia
240878.0;2019-10-07;segunda-feira;18:00:00;RJ;101;303.0;SAO GONCALO;Agressao Externa;Colisao traseira;Com Vitimas Feridas;Anoitecer
241882.0;2019-10-12;sabado;09:45:00;RJ;101;322.0;NITEROI;Falta de Atencao a Conducao;Colisao lateral;Com Vitimas Feridas;Pleno dia
243485.0;2019-10-19;sabado;13:25:00;RJ;101;334.0;RIO DE JANEIRO;Defeito Mecanico no Veiculo;Queda de ocupante de veiculo;Com Vitimas Feridas;Pleno dia
247796.0;2019-11-07;quinta-feira;15:45:00;RJ;101;313.0;SAO GONCALO;Nao guardar distancia de seguranca;Colisao traseira;Com Vitimas Feridas;Pleno dia
