id;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia
497003;2023-01-03;terca-feira;07:10:00;RJ;101;321.0;NITEROI;Ausencia de reacao do condutor;Colisao com objeto;Com Vitimas Feridas;Pleno dia
500685;2023-01-23;segunda-feira;22:30:00;RJ;101;310.0;SAO GONCALO;Manobra de mudanca de faixa;Colisao lateral sentido oposto;Com Vitimas Feridas;Plena Noite
500871;2023-01-24;terca-feira;17:45:00;RJ;101;326.0;NITEROI;Manobra de mudanca de faixa;Colisao lateral mesmo sentido;Sem Vitimas;Anoitecer
501718;2023-01-28;sabado;11:35:00;RJ;101;304.0;SAO GONCALO;Ausencia de reacao do condutor;Engavetamento;Com Vitimas Feridas;Pleno dia
503323;2023-02-05;domingo;05:55:00;RJ;101;310.0;SAO GONCALO;Ausencia de reacao do condutor;Colisao traseira;Sem Vitimas;Pleno dia
508859;2023-03-06;segunda-feira;13:30:00;RJ;101;312.0;SAO GONCALO;Demais falhas mecanicas ou eletricas;Colisao lateral mesmo sentido;Sem Vitimas;Pleno dia
510341;2023-03-01;quarta-feira;17:00:00;RJ;101;324.0;NITEROI;Ausencia de reacao do condutor;Colisao traseira;Com Vitimas Feridas;Pleno dia
512028;2023-03-21;terca-feira;17:40:00;RJ;101;331.0;RIO DE JANEIRO;Demais Fenomenos da natureza;Colisao traseira;Com Vitimas Feridas;Anoitecer
513822;2023-03-31;sexta-feira;02:10:00;RJ;101;319.0;NITEROI;Mal subito do condutor;Saida de leito carrocavel;Com Vitimas Feridas;Plena Noite
514297;2023-03-29;quarta-feira;19:24:00;RJ;101;311.0;SAO GONCALO;Ausencia de reacao do condutor;Colisao traseira;Com Vitimas Feridas;Plena Noite
515165;2023-04-06;quinta-feira;13:50:00;RJ;101;319.0;NITEROI;Condutor Dormindo;Colisao traseira;Com Vitimas Feridas;Pleno dia
518205;2023-04-19;quarta-feira;22:00:00;RJ;101;315.0;SAO GONCALO;Manobra de mudanca de faixa;Colisao lateral mesmo sentido;Com Vitimas Feridas;Plena Noite
521030;2023-05-04;quinta-feira;19:30:00;RJ;101;322.0;NITEROI;Manobra de mudanca de faixa;Colisao transversal;Sem Vitimas;Plena Noite
525000;2023-05-24;quarta-feira;09:00:00;RJ;101;328.0;NITEROI;Reacao tardia ou ineficiente do condutor;Colisao traseira;Com Vitimas Fatais;Pleno dia
525685;2023-05-27;sabado;15:20:00;RJ;101;328.0;NITEROI;Ausencia de reacao do condutor;Colisao traseira;Com Vitimas Feridas;Pleno dia
527824;2023-06-06;terca-feira;22:20:00;RJ;101;317.0;SAO GONCALO;Reacao tardia ou ineficiente do condutor;Colisao traseira;Com Vitimas Feridas;Plena Noite
528014;2023-06-07;quarta-feira;17:00:00;RJ;101;328.0;RIO DE JANEIRO;Ausencia de reacao do condutor;Colisao traseira;Com Vitimas Feridas;Anoitecer
529511;2023-06-07;quarta-feira;11:30:00;RJ;101;325.0;NITEROI;Reacao tardia ou ineficiente do condutor;Colisao traseira;Sem Vitimas;Pleno dia
534024;2023-07-06;quinta-feira;08:15:00;RJ;101;321.0;NITEROI;Ausencia de reacao do condutor;Colisao traseira;Com Vitimas Feridas;Pleno dia
535044;2023-07-10;segunda-feira;17:00:00;RJ;101;330.0;RIO DE JANEIRO;Ausencia de reacao do condutor;Colisao traseira;Com Vitimas Feridas;Anoitecer
539477;2023-07-31;segunda-feira;20:25:00;RJ;101;330.0;RIO DE JANEIRO;Ausencia de reacao do condutor;Colisao traseira;Com Vitimas Feridas;Plena Noite
539569;2023-08-01;terca-feira;09:17:00;RJ;101;325.0;NITEROI;Reacao tardia ou ineficiente do condutor;Colisao traseira;Sem Vitimas;Pleno dia
543124;2023-08-18;sexta-feira;14:55:00;RJ;101;332.0;RIO DE JANEIRO;Trafegar com motocicleta (ou similar) entre as faixas;Colisao traseira;Com Vitimas Feridas;Pleno dia
544228;2023-08-24;quinta-feira;10:52:00;RJ;101;333.0;RIO DE JANEIRO;Demais falhas mecanicas ou eletricas;Tombamento;Com Vitimas Feridas;Pleno dia
545236;2023-08-28;segunda-feira;19:00:00;RJ;101;308.0;SAO GONCALO;Condutor deixou de manter distancia do veiculo da frente;Colisao traseira;Sem Vitimas;Plena Noite
546015;2023-06-26;segunda-feira;18:00:00;RJ;101;309.0;SAO GONCALO;Pedestre cruzava a pista fora da faixa;Atropelamento de Pedestre;Com Vitimas Fatais;Anoitecer
546501;2023-09-04;segunda-feira;08:05:00;RJ;101;322.0;NITEROI;Manobra de mudanca de faixa;Colisao lateral mesmo sentido;Com Vitimas Feridas;Pleno dia
546612;2023-09-04;segunda-feira;14:45:00;RJ;101;330.0;RIO DE JANEIRO;Condutor deixou de manter distancia do veiculo da frente;Colisao traseira;Com Vitimas Fatais;Pleno dia
547316;2023-05-11;quinta-feira;16:15:00;RJ;101;313.0;SAO GONCALO;Acesso irregular;Atropelamento de Pedestre;Com Vitimas Fatais;Pleno dia
550142;2023-09-21;quinta-feira;21:20:00;RJ;101;326.0;NITEROI;Condutor deixou de manter distancia do veiculo da frente;Colisao traseira;Com Vitimas Feridas;Plena Noite
551683;2023-09-29;sexta-feira;09:24:00;RJ;101;310.0;SAO GONCALO;Frear bruscamente;Colisao transversal;Com Vitimas Feridas;Pleno dia
554390;2023-10-11;quarta-feira;12:20:00;RJ;101;313.0;SAO GONCALO;Ausencia de reacao do condutor;Colisao traseira;Com Vitimas Feridas;Pleno dia
555548;2023-10-17;terca-feira;14:40:00;RJ;101;322.0;NITEROI;Demais falhas mecanicas ou eletricas;Incendio;Sem Vitimas;Pleno dia
557431;2023-10-27;sexta-feira;02:00:00;RJ;101;312.0;SAO GONCALO;Ausencia de reacao do condutor;Colisao traseira;Com Vitimas Fatais;Plena Noite
561414;2023-11-15;quarta-feira;04:35:00;RJ;101;309.0;SAO GONCALO;Demais falhas mecanicas ou eletricas;Colisao com objeto;Com Vitimas Fatais;Amanhecer
561777;2023-11-17;sexta-feira;07:20:00;RJ;101;321.0;NITEROI;Condutor deixou de manter distancia do veiculo da frente;Colisao traseira;Com Vitimas Feridas;Pleno dia
564670;2023-12-01;sexta-feira;07:15:00;RJ;101;309.0;SAO GONCALO;Manobra de mudanca de faixa;Colisao lateral mesmo sentido;Com Vitimas Feridas;Pleno dia
566799;2023-12-02;sabado;18:00:00;RJ;101;305.0;SAO GONCALO;Manobra de mudanca de faixa;Colisao lateral mesmo sentido;Com Vitimas Feridas;Pleno dia
569401;2023-12-21;quinta-feira;07:00:00;RJ;101;308.0;SAO GONCALO;Condutor Dormindo;Colisao com objeto;Com Vitimas Feridas;Pleno dia
569553;2023-12-21;quinta-feira;13:10:00;RJ;101;328.0;NITEROI;Demais Fenomenos da natureza;Tombamento;Sem Vitimas;Pleno dia
577985;2023-12-12;terca-feira;14:50:00;RJ;101;333.0;RIO DE JANEIRO;Ausencia de reacao do condutor;Colisao traseira;Com Vitimas Feridas;Pleno dia
616819;2023-01-24;terca-feira;15:20:00;RJ;101;308.4;SAO GONCALO;Ausencia de reacao do condutor;Colisao traseira;Com Vitimas Feridas;Pleno dia
508124;2023-02-27;segunda-feira;09:20:00;RJ;101;306.0;SAO GONCALO;Ausencia de reacao do condutor;Colisao lateral mesmo sentido;Com Vitimas Feridas;Pleno dia
517089;2023-04-15;sabado;22:50:00;RJ;101;312.0;SAO GONCALO;Ausencia de reacao do condutor;Colisao traseira;Com Vitimas Feridas;Plena Noite
520748;2023-05-03;quarta-feira;08:50:00;RJ;101;323.0;NITEROI;Ausencia de reacao do condutor;Colisao traseira;Com Vitimas Feridas;Pleno dia
522762;2023-05-13;sabado;11:00:00;RJ;101;328.0;RIO DE JANEIRO;Trafegar com motocicleta (ou similar) entre as faixas;Colisao lateral mesmo sentido;Com Vitimas Feridas;Pleno dia
555747;2023-10-18;quarta-feira;16:05:00;RJ;101;331.0;RIO DE JANEIRO;Demais falhas mecanicas ou eletricas;Incendio;Sem Vitimas;Pleno dia
563411;2023-11-24;sexta-feira;20:00:00;RJ;101;313.0;SAO GONCALO;Ausencia de reacao do condutor;Engavetamento;Sem Vitimas;Plena Noite
496564;2023-01-01;domingo;06:47:00;RJ;101;307.0;SAO GONCALO;Ausencia de reacao do condutor;Queda de ocupante de veiculo;Com Vitimas Fatais;Amanhecer
496579;2023-01-01;domingo;08:42:00;RJ;101;318.0;SAO GONCALO;Reacao tardia ou ineficiente do condutor;Colisao com objeto;Com Vitimas Feridas;Pleno dia
496757;2023-01-02;segunda-feira;05:50:00;RJ;101;305.0;SAO GONCALO;Condutor deixou de manter distancia do veiculo da frente;Colisao traseira;Com Vitimas Feridas;Pleno dia
496985;2023-01-03;terca-feira;08:00:00;RJ;101;318.0;NITEROI;Manobra de mudanca de faixa;Colisao lateral mesmo sentido;Com Vitimas Feridas;Pleno dia
497047;2023-01-03;terca-feira;09:50:00;RJ;101;323.0;NITEROI;Condutor deixou de manter distancia do veiculo da frente;Engavetamento;Com Vitimas Feridas;Pleno dia
497086;2023-01-03;terca-feira;06:42:00;RJ;101;318.0;SAO GONCALO;Avarias e/ou desgaste excessivo no pneu;Tombamento;Com Vitimas Feridas;Pleno dia
497762;2023-01-07;sabado;12:20:00;RJ;101;310.0;SAO GONCALO;Condutor deixou de manter distancia do veiculo da frente;Engavetamento;Com Vitimas Feridas;Pleno dia
497926;2023-01-08;domingo;06:40:00;RJ;101;322.0;NITEROI;Reacao tardia ou ineficiente do condutor;Tombamento;Com Vitimas Feridas;Pleno dia
498038;2023-01-08;domingo;17:50:00;RJ;101;325.0;NITEROI;Ausencia de reacao do condutor;Colisao traseira;Com Vitimas Feridas;Anoitecer
498046;2023-01-08;domingo;19:00:00;RJ;101;322.0;NITEROI;Condutor deixou de manter distancia do veiculo da frente;Engavetamento;Com Vitimas Feridas;Plena Noite
498505;2023-01-11;quarta-feira;06:10:00;RJ;101;323.0;NITEROI;Condutor deixou de manter distancia do veiculo da frente;Colisao traseira;Com Vitimas Feridas;Pleno dia
498745;2023-01-12;quinta-feira;13:50:00;RJ;101;329.0;NITEROI;Ausencia de reacao do condutor;Colisao traseira;Sem Vitimas;Pleno dia
498787;2023-01-12;quinta-feira;19:58:00;RJ;101;330.0;RIO DE JANEIRO;Demais falhas mecanicas ou eletricas;Colisao traseira;Com Vitimas Feridas;Plena Noite
499095;2023-01-14;sabado;10:40:00;RJ;101;311.0;SAO GONCALO;Velocidade Incompativel;Colisao traseira;Com Vitimas Feridas;Pleno dia
499133;2023-01-14;sabado;12:30:00;RJ;101;304.0;SAO GONCALO;Reacao tardia ou ineficiente do condutor;Colisao traseira;Com Vitimas Feridas;Pleno dia
499142;2023-01-14;sabado;16:20:00;RJ;101;327.0;NITEROI;Demais falhas mecanicas ou eletricas;Incendio;Sem Vitimas;Pleno dia
499388;2023-01-15;domingo;18:40:00;RJ;101;321.5;NITEROI;Condutor deixou de manter distancia do veiculo da frente;Colisao traseira;Com Vitimas Feridas;Anoitecer
499726;2023-01-17;terca-feira;08:45:00;RJ;101;325.0;NITEROI;Ausencia de reacao do condutor;Queda de ocupante de veiculo;Com Vitimas Feridas;Pleno dia
499734;2023-01-17;terca-feira;12:40:00;RJ;101;325.0;NITEROI;Reacao tardia ou ineficiente do condutor;Tombamento;Com Vitimas Feridas;Pleno dia
499799;2023-01-17;terca-feira;21:20:00;RJ;101;316.0;SAO GONCALO;Acumulo de areia ou detritos sobre o pavimento;Queda de ocupante de veiculo;Com Vitimas Feridas;Plena Noite
500060;2023-01-19;quinta-feira;12:25:00;RJ;101;322.0;NITEROI;Ausencia de reacao do condutor;Tombamento;Com Vitimas Feridas;Pleno dia
500130;2023-01-19;quinta-feira;19:00:00;RJ;101;319.0;NITEROI;Trafegar com motocicleta (ou similar) entre as faixas;Colisao lateral mesmo sentido;Com Vitimas Feridas;Plena Noite
500255;2023-01-20;sexta-feira;13:35:00;RJ;101;307.0;SAO GONCALO;Ausencia de reacao do condutor;Colisao traseira;Com Vitimas Feridas;Pleno dia
500415;2023-01-19;quinta-feira;20:46:00;RJ;101;313.0;SAO GONCALO;Ausencia de reacao do condutor;Colisao traseira;Com Vitimas Feridas;Plena Noite
501201;2023-01-25;quarta-feira;14:40:00;RJ;101;322.0;NITEROI;Manobra de mudanca de faixa;Colisao lateral mesmo sentido;Com Vitimas Feridas;Pleno dia
501207;2023-01-22;domingo;18:10:00;RJ;101;323.0;NITEROI;Demais falhas mecanicas ou eletricas;Colisao traseira;Com Vitimas Feridas;Anoitecer
501238;2023-01-26;quinta-feira;07:25:00;RJ;101;309.0;SAO GONCALO;Acessar a via sem observar a presenca dos outros veiculos;Colisao traseira;Com Vitimas Feridas;Pleno dia
501242;2023-01-22;domingo;20:20:00;RJ;101;315.0;SAO GONCALO;Condutor deixou de manter distancia do veiculo da frente;Colisao traseira;Com Vitimas Feridas;Pleno dia
501331;2023-01-22;domingo;20:00:00;RJ;101;321.0;NITEROI;Acessar a via sem observar a presenca dos outros veiculos;Colisao traseira;Com Vitimas Feridas;Plena Noite
501461;2023-01-27;sexta-feira;06:00:00;RJ;101;305.0;SAO GONCALO;Ausencia de reacao do condutor;Atropelamento de Animal;Com Vitimas Feridas;Amanhecer
501658;2023-01-08;domingo;10:30:00;RJ;101;302.6;SAO GONCALO;Ausencia de reacao do condutor;Capotamento;Com Vitimas Feridas;Pleno dia
501664;2023-01-28;sabado;08:40:00;RJ;101;323.0;NITEROI;Condutor deixou de manter distancia do veiculo da frente;Engavetamento;Com Vitimas Feridas;Pleno dia
501955;2023-01-29;domingo;15:12:00;RJ;101;325.0;NITEROI;Condutor Dormindo;Colisao lateral mesmo sentido;Com Vitimas Feridas;Pleno dia
502294;2023-01-31;terca-feira;08:50:00;RJ;101;319.0;NITEROI;Manobra de mudanca de faixa;Colisao lateral mesmo sentido;Com Vitimas Feridas;Pleno dia
502422;2023-01-31;terca-feira;21:50:00;RJ;101;313.0;SAO GONCALO;Reacao tardia ou ineficiente do condutor;Capotamento;Com Vitimas Feridas;Plena Noite
502455;2023-02-01;quarta-feira;07:20:00;RJ;101;322.0;NITEROI;Reacao tardia ou ineficiente do condutor;Colisao traseira;Com Vitimas Feridas;Pleno dia
502526;2023-01-12;quinta-feira;07:10:00;RJ;101;324.0;NITEROI;Trafegar com motocicleta (ou similar) entre as faixas;Colisao lateral mesmo sentido;Com Vitimas Feridas;Pleno dia
502608;2023-02-02;quinta-feira;08:20:00;RJ;101;322.0;NITEROI;Condutor deixou de manter distancia do veiculo da frente;Colisao traseira;Com Vitimas Feridas;Pleno dia
502845;2023-01-30;segunda-feira;16:40:00;RJ;101;311.0;SAO GONCALO;Demais falhas mecanicas ou eletricas;Queda de ocupante de veiculo;Com Vitimas Feridas;Pleno dia
502938;2023-02-03;sexta-feira;16:00:00;RJ;101;329.0;NITEROI;Reacao tardia ou ineficiente do condutor;Colisao traseira;Com Vitimas Feridas;Pleno dia
503184;2023-02-04;sabado;21:00:00;RJ;101;319.0;SAO GONCALO;Entrada inopinada do pedestre;Colisao lateral mesmo sentido;Sem Vitimas;Plena Noite
503696;2023-02-07;terca-feira;08:15:00;RJ;101;319.0;NITEROI;Ausencia de reacao do condutor;Colisao lateral mesmo sentido;Com Vitimas Feridas;Pleno dia
503791;2023-02-07;terca-feira;06:45:00;RJ;101;321.0;NITEROI;Trafegar com motocicleta (ou similar) entre as faixas;Colisao lateral mesmo sentido;Com Vitimas Feridas;Pleno dia
504070;2023-02-09;quinta-feira;07:40:00;RJ;101;325.0;RIO DE JANEIRO;Ausencia de reacao do condutor;Colisao traseira;Sem Vitimas;Pleno dia
504816;2023-02-13;segunda-feira;05:00:00;RJ;101;332.0;RIO DE JANEIRO;Ausencia de reacao do condutor;Tombamento;Com Vitimas Feridas;Amanhecer
504880;2023-02-13;segunda-feira;10:10:00;RJ;101;327.0;NITEROI;Condutor deixou de manter distancia do veiculo da frente;Engavetamento;Com Vitimas Feridas;Pleno dia
504983;2023-02-13;segunda-feira;17:40:00;RJ;101;327.0;NITEROI;Reacao tardia ou ineficiente do condutor;Colisao traseira;Com Vitimas Feridas;Pleno dia
505275;2023-02-15;quarta-feira;12:55:00;RJ;101;300.0;SAO GONCALO;Ausencia de reacao do condutor;Colisao lateral mesmo sentido;Com Vitimas Feridas;Pleno dia
505397;2023-02-16;quinta-feira;06:05:00;RJ;101;306.6;SAO GONCALO;Reacao tardia ou ineficiente do condutor;Colisao traseira;Com Vitimas Feridas;Pleno dia
505429;2023-02-13;segunda-feira;19:14:00;RJ;101;322.0;NITEROI;Manobra de mudanca de faixa;Colisao lateral mesmo sentido;Sem Vitimas;Plena Noite
505532;2023-02-13;segunda-feira;02:30:00;RJ;101;318.0;SAO GONCALO;Ingestao de alcool e/ou substancias psicoativas pelo pedestre;Colisao com objeto;Com Vitimas Feridas;Plena Noite
505536;2023-02-16;quinta-feira;23:00:00;RJ;101;325.0;NITEROI;Velocidade Incompativel;Colisao traseira;Com Vitimas Feridas;Plena Noite
505847;2023-02-18;sabado;08:45:00;RJ;101;300.0;SAO GONCALO;Ausencia de reacao do condutor;Atropelamento de Pedestre;Com Vitimas Feridas;Pleno dia
505862;2023-02-18;sabado;07:10:00;RJ;101;304.0;SAO GONCALO;Trafegar com motocicleta (ou similar) entre as faixas;Colisao transversal;Com Vitimas Feridas;Pleno dia
506390;2023-02-20;segunda-feira;21:05:00;RJ;101;307.0;SAO GONCALO;Reacao tardia ou ineficiente do condutor;Colisao traseira;Com Vitimas Feridas;Plena Noite
506450;2023-02-21;terca-feira;07:52:00;RJ;101;322.0;NITEROI;Manobra de mudanca de faixa;Colisao lateral mesmo sentido;Sem Vitimas;Pleno dia
506520;2023-02-21;terca-feira;17:58:00;RJ;101;308.0;SAO GONCALO;Animais na Pista;Atropelamento de Animal;Com Vitimas Feridas;Pleno dia
506535;2023-02-21;terca-feira;20:30:00;RJ;101;322.0;NITEROI;Condutor deixou de manter distancia do veiculo da frente;Colisao traseira;Com Vitimas Feridas;Plena Noite
506648;2023-02-22;quarta-feira;11:50:00;RJ;101;318.0;SAO GONCALO;Avarias e/ou desgaste excessivo no pneu;Queda de ocupante de veiculo;Com Vitimas Feridas;Pleno dia
506658;2023-02-22;quarta-feira;10:00:00;RJ;101;333.0;RIO DE JANEIRO;Reacao tardia ou ineficiente do condutor;Tombamento;Com Vitimas Feridas;Pleno dia
506730;2023-02-22;quarta-feira;13:30:00;RJ;101;309.0;SAO GONCALO;Demais falhas mecanicas ou eletricas;Incendio;Sem Vitimas;Pleno dia
506756;2023-02-23;quinta-feira;07:00:00;RJ;101;307.8;SAO GONCALO;Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Sem Vitimas;Pleno dia
506771;2023-02-23;quinta-feira;07:30:00;RJ;101;318.0;SAO GONCALO;Trafegar com motocicleta (ou similar) entre as faixas;Colisao lateral mesmo sentido;Com Vitimas Feridas;Pleno dia
506803;2023-02-23;quinta-feira;12:40:00;RJ;101;306.7;SAO GONCALO;Reacao tardia ou ineficiente do condutor;Colisao traseira;Com Vitimas Feridas;Pleno dia
507141;2023-02-25;sabado;15:10:00;RJ;101;324.0;NITEROI;Ausencia de reacao do condutor;Colisao traseira;Sem Vitimas;Pleno dia
507250;2023-02-26;domingo;06:12:00;RJ;101;330.0;RIO DE JANEIRO;Ingestao de alcool pelo condutor;Queda de ocupante de veiculo;Com Vitimas Feridas;Pleno dia
