id;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia
83123651;2014-01-01;Quarta;09:10:00;RJ;101;317.0;SAO GONCALO;Outras;Atropelamento de pessoa;Com Vitimas Feridas;Pleno dia
83123813;2014-01-02;Quinta;10:00:00;RJ;101;330.0;RIO DE JANEIRO;Outras;Colisao traseira;Com Vitimas Feridas;Pleno dia
83124044;2014-01-02;Quinta;17:20:00;RJ;101;306.0;SAO GONCALO;Falta de atencao;Colisao traseira;Sem Vitimas;Pleno dia
83124089;2014-01-02;Quinta;14:08:00;RJ;101;333.0;RIO DE JANEIRO;Outras;Colisao traseira;Sem Vitimas;Pleno dia
83124167;2014-01-02;Quinta;18:12:00;RJ;101;307.0;SAO GONCALO;Outras;Colisao traseira;Sem Vitimas;Pleno dia
83124416;2014-01-03;Sexta;11:13:00;RJ;101;322.0;NITEROI;Outras;Colisao lateral;Sem Vitimas;Pleno dia
83124567;2014-01-03;Sexta;15:50:00;RJ;101;316.3;SAO GONCALO;Outras;Queda de motocicleta / bicicleta / veiculo;Com Vitimas Feridas;Pleno dia
83124617;2014-01-03;Sexta;17:20:00;RJ;101;318.0;SAO GONCALO;Outras;Colisao traseira;Sem Vitimas;Pleno dia
83124649;2014-01-03;Sexta;18:30:00;RJ;101;318.0;SAO GONCALO;Outras;Colisao lateral;Sem Vitimas;Pleno dia
83124721;2014-01-03;Sexta;21:30:00;RJ;101;323.0;NITEROI;Outras;Colisao traseira;Sem Vitimas;Plena noite
83124753;2014-01-03;Sexta;22:30:00;RJ;101;309.0;SAO GONCALO;Outras;Colisao traseira;Sem Vitimas;Plena noite
83124756;2014-01-03;Sexta;22:00:00;RJ;101;334.0;RIO DE JANEIRO;Falta de atencao;Colisao lateral;Sem Vitimas;Plena noite
83124847;2014-01-04;Sabado;01:49:00;RJ;101;305.0;SAO GONCALO;Outras;Saida de Pista;Com Vitimas Fatais;Plena noite
83124884;2014-01-04;Sabado;07:30:00;RJ;101;323.0;NITEROI;Nao guardar distancia de seguranca;Colisao traseira;Sem Vitimas;Pleno dia
83124944;2014-01-04;Sabado;08:20:00;RJ;101;321.0;NITEROI;Falta de atencao;Colisao lateral;Sem Vitimas;Pleno dia
83125102;2014-01-04;Sabado;12:10:00;RJ;101;300.0;SAO GONCALO;Outras;Colisao traseira;Sem Vitimas;Pleno dia
83125196;2014-01-04;Sabado;20:00:00;RJ;101;319.0;SAO GONCALO;Outras;Colisao traseira;Sem Vitimas;Plena noite
83125655;2014-01-05;Domingo;05:45:00;RJ;101;321.0;NITEROI;Velocidade incompativel;Queda de motocicleta / bicicleta / veiculo;Com Vitimas Fatais;Amanhecer
83125706;2014-01-05;Domingo;16:30:00;RJ;101;322.0;NITEROI;Falta de atencao;Colisao lateral;Com Vitimas Feridas;Pleno dia
83126098;2014-01-06;Segunda;14:48:00;RJ;101;327.0;NITEROI;Outras;Colisao traseira;Sem Vitimas;Pleno dia
83126186;2014-01-06;Segunda;17:41:00;RJ;101;322.0;NITEROI;Outras;Colisao traseira;Sem Vitimas;Pleno dia
83126223;2014-01-06;Segunda;18:30:00;RJ;101;322.0;NITEROI;Outras;Colisao Transversal;Sem Vitimas;Pleno dia
83126256;2014-01-06;Segunda;18:50:00;RJ;101;322.0;NITEROI;Outras;Queda de motocicleta / bicicleta / veiculo;Com Vitimas Feridas;Anoitecer
83126481;2014-01-07;Terca;10:20:00;RJ;101;322.0;NITEROI;Falta de atencao;Colisao traseira;Sem Vitimas;Pleno dia
83126588;2014-01-07;Terca;14:40:00;RJ;101;319.0;SAO GONCALO;Outras;Colisao traseira;Sem Vitimas;Pleno dia
83126641;2014-01-07;Terca;17:40:00;RJ;101;313.0;SAO GONCALO;Outras;Colisao traseira;Sem Vitimas;Pleno dia
83126863;2014-01-07;Terca;15:50:00;RJ;101;320.0;SAO GONCALO;Outras;Atropelamento de pessoa;Com Vitimas Feridas;Pleno dia
83126922;2014-01-08;Quarta;07:00:00;RJ;101;323.0;NITEROI;Outras;Colisao lateral;Com Vitimas Feridas;Pleno dia
83127070;2014-01-08;Quarta;16:00:00;RJ;101;321.0;NITEROI;Outras;Queda de motocicleta / bicicleta / veiculo;Com Vitimas Feridas;Pleno dia
83127161;2014-01-08;Quarta;19:30:00;RJ;101;304.0;SAO GONCALO;Outras;Saida de Pista;Sem Vitimas;Anoitecer
83127287;2014-01-05;Domingo;22:00:00;RJ;101;327.0;RIO DE JANEIRO;Nao guardar distancia de seguranca;Colisao traseira;Sem Vitimas;Plena noite
83127311;2014-01-09;Quinta;06:25:00;RJ;101;324.0;NITEROI;Nao guardar distancia de seguranca;Colisao lateral;Sem Vitimas;Pleno dia
83127692;2014-01-09;Quinta;22:30:00;RJ;101;309.0;SAO GONCALO;Outras;Colisao com objeto fixo;Sem Vitimas;Plena noite
83127783;2014-01-10;Sexta;07:55:00;RJ;101;322.0;NITEROI;Outras;Colisao lateral;Sem Vitimas;Pleno dia
83127788;2014-01-10;Sexta;07:00:00;RJ;101;327.0;RIO DE JANEIRO;Outras;Colisao traseira;Sem Vitimas;Pleno dia
83127822;2014-01-10;Sexta;08:50:00;RJ;101;316.0;SAO GONCALO;Outras;Colisao lateral;Sem Vitimas;Pleno dia
