id;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia
83427160;01/01/16;Sexta;06:00:00;RJ;101;331.0;RIO DE JANEIRO;Dormindo;Colisao traseira;Sem Vitimas;Pleno dia
83428110;08/01/16;Sexta;18:00:00;RJ;101;328.0;NITEROI;Outras;Colisao traseira;Com Vitimas Feridas;Anoitecer
83428734;10/01/16;Domingo;13:50:00;RJ;101;331.0;RIO DE JANEIRO;Outras;Colisao lateral;Sem Vitimas;Pleno dia
83428802;10/01/16;Domingo;07:50:00;RJ;101;321.0;NITEROI;Velocidade incompativel;Colisao lateral;Com Vitimas Feridas;Pleno dia
83428916;11/01/16;Segunda;08:25:00;RJ;101;316.0;SAO GONCALO;Nao guardar distancia de seguranca;Colisao lateral;Com Vitimas Feridas;Amanhecer
83429284;12/01/16;Terca;12:15:00;RJ;101;301.0;SAO GONCALO;Outras;Colisao traseira;Com Vitimas Feridas;Pleno dia
83429651;13/01/16;Quarta;13:17:00;RJ;101;322.0;NITEROI;Outras;Colisao com objeto fixo;Sem Vitimas;Pleno dia
83429865;12/01/16;Terca;23:30:00;RJ;101;313.0;SAO GONCALO;Outras;Atropelamento de pessoa;Com Vitimas Fatais;Plena noite
83429903;10/01/16;Domingo;22:45:00;RJ;101;313.0;SAO GONCALO;Outras;Capotamento;Sem Vitimas;Plena noite
83430224;15/01/16;Sexta;12:30:00;RJ;101;328.0;NITEROI;Velocidade incompativel;Capotamento;Com Vitimas Feridas;Pleno dia
83430559;16/01/16;Sabado;12:30:00;RJ;101;319.0;SAO GONCALO;Outras;Saida de Pista;Sem Vitimas;Pleno dia
83430894;17/01/16;Domingo;15:44:00;RJ;101;324.0;NITEROI;Defeito mecanico em veiculo;Colisao traseira;Com Vitimas Feridas;Pleno dia
83430930;17/01/16;Domingo;18:00:00;RJ;101;325.0;NITEROI;Outras;Colisao com objeto fixo;Com Vitimas Feridas;Pleno dia
83431080;18/01/16;Segunda;07:04:00;RJ;101;319.0;SAO GONCALO;Defeito mecanico em veiculo;Queda de motocicleta / bicicleta / veiculo;Com Vitimas Feridas;Pleno dia
83431081;18/01/16;Segunda;07:04:00;RJ;101;319.0;SAO GONCALO;Nao guardar distancia de seguranca;Colisao traseira;Com Vitimas Feridas;Pleno dia
83431476;19/01/16;Terca;07:13:00;RJ;101;312.0;SAO GONCALO;Outras;Colisao com objeto fixo;Com Vitimas Feridas;Pleno dia
83432073;19/01/16;Terca;22:20:00;RJ;101;313.0;SAO GONCALO;Outras;Saida de Pista;Sem Vitimas;Plena noite
83432152;21/01/16;Quinta;13:30:00;RJ;101;324.0;NITEROI;Outras;Colisao traseira;Com Vitimas Feridas;Pleno dia
83432173;21/01/16;Quinta;09:00:00;RJ;101;334.0;RIO DE JANEIRO;Outras;Queda de motocicleta / bicicleta / veiculo;Com Vitimas Feridas;Pleno dia
83432316;18/01/16;Segunda;19:55:00;RJ;101;322.0;NITEROI;Falta de atencao;Atropelamento de pessoa;Com Vitimas Feridas;Plena noite
83432747;23/01/16;Sabado;14:32:00;RJ;101;319.0;SAO GONCALO;Outras;Queda de motocicleta / bicicleta / veiculo;Com Vitimas Feridas;Pleno dia
83432791;23/01/16;Sabado;18:55:00;RJ;101;306.0;SAO GONCALO;Outras;Colisao lateral;Com Vitimas Feridas;Pleno dia
83432912;24/01/16;Domingo;05:20:00;RJ;101;326.0;NITEROI;Falta de atencao;Colisao traseira;Com Vitimas Feridas;Plena noite
83433172;25/01/16;Segunda;04:00:00;RJ;101;314.0;SAO GONCALO;Falta de atencao;Colisao com objeto fixo;Ignorado;Plena noite
83434249;28/01/16;Quinta;22:18:00;RJ;101;320.0;NITEROI;Outras;Colisao com objeto fixo;Com Vitimas Feridas;Plena noite
83434296;25/01/16;Segunda;23:23:00;RJ;101;321.0;NITEROI;Outras;Capotamento;Com Vitimas Feridas;Plena noite
83434690;30/01/16;Sabado;13:00:00;RJ;101;322.0;NITEROI;Nao guardar distancia de seguranca;Colisao traseira;Com Vitimas Feridas;Pleno dia
83434996;31/01/16;Domingo;17:55:00;RJ;101;319.0;NITEROI;Outras;Colisao lateral;Sem Vitimas;Pleno dia
83435046;31/01/16;Domingo;19:10:00;RJ;101;324.0;NITEROI;Outras;Colisao lateral;Com Vitimas Feridas;Anoitecer
83435088;01/02/16;Segunda;00:01:00;RJ;101;309.0;SAO GONCALO;Defeito na via;Atropelamento de animal;Sem Vitimas;Plena noite
83435119;16/01/16;Sabado;07:30:00;RJ;101;308.0;SAO GONCALO;Outras;Colisao com objeto fixo;Sem Vitimas;Amanhecer
83435166;01/02/16;Segunda;05:50:00;RJ;101;326.0;NITEROI;Outras;Colisao traseira;Com Vitimas Feridas;Pleno dia
83435223;01/02/16;Segunda;12:15:00;RJ;101;328.0;NITEROI;Falta de atencao;Colisao traseira;Sem Vitimas;Pleno dia
83435672;02/02/16;Terca;16:20:00;RJ;101;327.0;NITEROI;Outras;Queda de motocicleta / bicicleta / veiculo;Com Vitimas Feridas;Pleno dia
83435835;31/01/16;Domingo;04:30:00;RJ;101;325.0;NITEROI;Dormindo;Colisao Transversal;Com Vitimas Feridas;Plena noite
83435853;03/02/16;Quarta;11:00:00;RJ;101;327.0;NITEROI;Nao guardar distancia de seguranca;Colisao traseira;Com Vitimas Feridas;Pleno dia
83436251;02/02/16;Terca;18:20:00;RJ;101;319.0;SAO GONCALO;Outras;Colisao traseira;Com Vitimas Feridas;Pleno dia
83436285;04/02/16;Quinta;18:53:00;RJ;101;322.0;NITEROI;Outras;Colisao traseira;Com Vitimas Feridas;Anoitecer
83436292;04/02/16;Quinta;18:15:00;RJ;101;300.6;SAO GONCALO;Outras;Colisao traseira;Sem Vitimas;Anoitecer
83436319;04/02/16;Quinta;15:41:00;RJ;101;330.0;RIO DE JANEIRO;Falta de atencao;Colisao traseira;Sem Vitimas;Pleno dia
83436401;05/02/16;Sexta;05:50:00;RJ;101;334.0;RIO DE JANEIRO;Outras;Colisao traseira;Com Vitimas Feridas;Amanhecer
83436412;04/02/16;Quinta;09:55:00;RJ;101;330.0;RIO DE JANEIRO;Defeito mecanico em veiculo;Colisao traseira;Sem Vitimas;Pleno dia
83436629;05/02/16;Sexta;19:00:00;RJ;101;301.0;SAO GONCALO;Outras;Atropelamento de pessoa;Com Vitimas Feridas;Anoitecer
83436676;05/02/16;Sexta;20:00:00;RJ;101;305.0;SAO GONCALO;Outras;Atropelamento de pessoa;Com Vitimas Feridas;Anoitecer
83436739;06/02/16;Sabado;04:50:00;RJ;101;334.0;RIO DE JANEIRO;Outras;Colisao com objeto fixo;Com Vitimas Feridas;Plena noite
83436804;30/01/16;Sabado;01:00:00;RJ;101;314.0;SAO GONCALO;Outras;Colisao frontal;Com Vitimas Feridas;Pleno dia
83436808;06/02/16;Sabado;08:00:00;RJ;101;300.0;SAO GONCALO;Outras;Colisao traseira;Sem Vitimas;Pleno dia
