id;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia
572736.0;2024-01-05;sexta-feira;10:15:00;RJ;101;333.0;RIO DE JANEIRO;Manobra de mudanca de faixa;Colisao lateral mesmo sentido;Sem Vitimas;Pleno dia
573762.0;2024-01-10;quarta-feira;11:57:00;RJ;101;323.0;NITEROI;Reacao tardia ou ineficiente do condutor;Colisao traseira;Com Vitimas Feridas;Pleno dia
575427.0;2024-01-18;quinta-feira;07:20:00;RJ;101;308.0;SAO GONCALO;Condutor deixou de manter distancia do veiculo da frente;Colisao traseira;Sem Vitimas;Pleno dia
576233.0;2024-01-21;domingo;14:00:00;RJ;101;326.0;NITEROI;Ausencia de reacao do condutor;Colisao traseira;Com Vitimas Feridas;Pleno dia
576532.0;2024-01-22;segunda-feira;11:00:00;RJ;101;309.0;SAO GONCALO;Condutor deixou de manter distancia do veiculo da frente;Colisao traseira;Com Vitimas Feridas;Pleno dia
579445.0;2024-02-06;terca-feira;16:00:00;RJ;101;323.0;NITEROI;Ausencia de reacao do condutor;Colisao traseira;Com Vitimas Feridas;Pleno dia
580179.0;2024-02-06;terca-feira;23:45:00;RJ;101;328.0;RIO DE JANEIRO;Ausencia de reacao do condutor;Colisao traseira;Com Vitimas Feridas;Plena Noite
584933.0;2024-03-04;segunda-feira;09:15:00;RJ;101;318.0;SAO GONCALO;Manobra de mudanca de faixa;Colisao traseira;Sem Vitimas;Pleno dia
585044.0;2024-03-04;segunda-feira;15:35:00;RJ;101;328.0;NITEROI;Condutor deixou de manter distancia do veiculo da frente;Colisao traseira;Com Vitimas Feridas;Pleno dia
587548.0;2024-03-15;sexta-feira;23:17:00;RJ;101;332.0;RIO DE JANEIRO;Ausencia de reacao do condutor;Colisao traseira;Com Vitimas Feridas;Plena Noite
588843.0;2024-03-21;quinta-feira;18:10:00;RJ;101;330.0;RIO DE JANEIRO;Reacao tardia ou ineficiente do condutor;Eventos atipicos;Sem Vitimas;Plena Noite
589122.0;2024-03-22;sexta-feira;20:40:00;RJ;101;309.0;SAO GONCALO;Reacao tardia ou ineficiente do condutor;Colisao traseira;Com Vitimas Feridas;Plena Noite
592517.0;2024-04-03;quarta-feira;05:00:00;RJ;101;300.0;SAO GONCALO;Ausencia de reacao do condutor;Colisao traseira;Sem Vitimas;Pleno dia
592582.0;2024-04-08;segunda-feira;06:25:00;RJ;101;308.9;SAO GONCALO;Animais na Pista;Engavetamento;Com Vitimas Feridas;Pleno dia
592901.0;2024-02-16;sexta-feira;14:30:00;RJ;101;325.0;NITEROI;Ausencia de reacao do condutor;Colisao traseira;Com Vitimas Feridas;Pleno dia
592992.0;2024-04-10;quarta-feira;02:15:00;RJ;101;332.8;RIO DE JANEIRO;Acesso irregular;Engavetamento;Com Vitimas Feridas;Plena Noite
592993.0;2024-04-10;quarta-feira;03:00:00;RJ;101;324.4;NITEROI;Condutor Dormindo;Colisao traseira;Com Vitimas Feridas;Plena Noite
593327.0;2024-04-11;quinta-feira;18:20:00;RJ;101;333.0;RIO DE JANEIRO;Ausencia de reacao do condutor;Colisao traseira;Com Vitimas Fatais;Plena Noite
596289.0;2024-04-25;quinta-feira;14:30:00;RJ;101;331.0;RIO DE JANEIRO;Ausencia de reacao do condutor;Colisao traseira;Sem Vitimas;Pleno dia
599027.0;2024-05-08;quarta-feira;08:45:00;RJ;101;319.0;SAO GONCALO;Ausencia de reacao do condutor;Engavetamento;Com Vitimas Feridas;Pleno dia
599557.0;2024-05-10;sexta-feira;18:30:00;RJ;101;331.0;RIO DE JANEIRO;Condutor deixou de manter distancia do veiculo da frente;Colisao traseira;Com Vitimas Feridas;Plena Noite
602214.0;2024-05-22;quarta-feira;12:00:00;RJ;101;322.0;NITEROI;Acesso irregular;Colisao com objeto;Sem Vitimas;Pleno dia
602751.0;2024-05-24;sexta-feira;19:00:00;RJ;101;334.0;RIO DE JANEIRO;Manobra de mudanca de faixa;Colisao lateral mesmo sentido;Com Vitimas Feridas;Plena Noite
