id;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia
961;2017-01-04;quarta-feira;10:50:00;RJ;101;309.0;SAO GONCALO;Falta de Atencao a Conducao;Engavetamento;Sem Vitimas;Pleno dia
2770;2017-01-11;quarta-feira;04:00:00;RJ;101;328.0;NITEROI;Falta de Atencao a Conducao;Colisao traseira;Com Vitimas Feridas;Amanhecer
2875;2017-01-11;quarta-feira;15:53:00;RJ;101;324.0;NITEROI;Nao guardar distancia de seguranca;Colisao lateral;Com Vitimas Feridas;Pleno dia
4779;2017-01-18;quarta-feira;07:00:00;RJ;101;308.0;SAO GONCALO;Defeito Mecanico no Veiculo;Colisao com objeto estatico;Sem Vitimas;Pleno dia
6041;2017-01-23;segunda-feira;05:30:00;RJ;101;328.0;RIO DE JANEIRO;Falta de Atencao a Conducao;Colisao traseira;Com Vitimas Feridas;Pleno dia
6732;2017-01-26;quinta-feira;00:20:00;RJ;101;308.0;SAO GONCALO;Desobediencia as normas de transito pelo condutor;Capotamento;Sem Vitimas;Plena Noite
7512;2017-01-29;domingo;01:15:00;RJ;101;311.0;SAO GONCALO;Desobediencia as normas de transito pelo condutor;Colisao traseira;Sem Vitimas;Plena Noite
8742;2017-02-03;sexta-feira;05:00:00;RJ;101;321.2;NITEROI;Falta de Atencao a Conducao;Colisao com objeto estatico;Sem Vitimas;Amanhecer
10351;2017-02-08;quarta-feira;19:50:00;RJ;101;323.0;NITEROI;Nao guardar distancia de seguranca;Colisao traseira;Com Vitimas Feridas;Plena Noite
12236;2017-02-15;quarta-feira;16:00:00;RJ;101;309.0;SAO GONCALO;Falta de Atencao a Conducao;Colisao traseira;Com Vitimas Feridas;Pleno dia
15287;2017-02-26;domingo;02:55:00;RJ;101;317.0;SAO GONCALO;Defeito Mecanico no Veiculo;Danos eventuais;Sem Vitimas;Plena Noite
18031;2017-03-08;quarta-feira;18:23:00;RJ;101;322.0;NITEROI;Falta de Atencao a Conducao;Colisao com objeto estatico;Sem Vitimas;Anoitecer
19373;2017-03-13;segunda-feira;07:40:00;RJ;101;316.0;SAO GONCALO;Falta de Atencao a Conducao;Colisao traseira;Com Vitimas Feridas;Pleno dia
20841;2017-03-18;sabado;16:50:00;RJ;101;305.0;SAO GONCALO;Restricao de Visibilidade;Tombamento;Com Vitimas Feridas;Anoitecer
24011;2017-03-30;quinta-feira;13:50:00;RJ;101;322.0;NITEROI;Falta de Atencao a Conducao;Colisao com objeto estatico;Sem Vitimas;Pleno dia
25352;2017-04-04;terca-feira;12:29:00;RJ;101;333.0;RIO DE JANEIRO;Falta de Atencao a Conducao;Colisao lateral;Com Vitimas Feridas;Pleno dia
26061;2017-04-05;quarta-feira;12:45:00;RJ;101;322.0;NITEROI;Falta de Atencao a Conducao;Colisao com objeto estatico;Sem Vitimas;Pleno dia
26250;2017-04-06;quinta-feira;08:30:00;RJ;101;309.6;SAO GONCALO;Defeito Mecanico no Veiculo;Colisao traseira;Com Vitimas Feridas;Pleno dia
28278;2017-04-13;quinta-feira;02:52:00;RJ;101;299.0;SAO GONCALO;Condutor Dormindo;Colisao traseira;Sem Vitimas;Plena Noite
28306;2017-04-13;quinta-feira;06:17:00;RJ;101;325.0;NITEROI;Falta de Atencao a Conducao;Colisao traseira;Com Vitimas Feridas;Pleno dia
29055;2017-04-15;sabado;08:30:00;RJ;101;315.0;SAO GONCALO;Ultrapassagem Indevida;Saida de leito carrocavel;Sem Vitimas;Pleno dia
38270;2017-05-18;quinta-feira;12:40:00;RJ;101;322.0;NITEROI;Defeito Mecanico no Veiculo;Colisao lateral;Com Vitimas Feridas;Pleno dia
38620;2017-05-19;sexta-feira;12:12:00;RJ;101;322.0;NITEROI;Falta de Atencao a Conducao;Colisao com objeto estatico;Sem Vitimas;Pleno dia
41502;2017-05-29;segunda-feira;06:05:00;RJ;101;328.0;RIO DE JANEIRO;Falta de Atencao a Conducao;Colisao traseira;Sem Vitimas;Amanhecer
41701;2017-05-30;terca-feira;02:00:00;RJ;101;332.0;RIO DE JANEIRO;Falta de Atencao a Conducao;Colisao lateral;Sem Vitimas;Plena Noite
43341;2017-06-04;domingo;22:00:00;RJ;101;309.0;SAO GONCALO;Falta de Atencao a Conducao;Colisao traseira;Com Vitimas Feridas;Plena Noite
43357;2017-06-05;segunda-feira;01:30:00;RJ;101;317.0;SAO GONCALO;Ultrapassagem Indevida;Colisao lateral;Com Vitimas Feridas;Plena Noite
47092;2017-06-18;domingo;07:30:00;RJ;101;310.0;SAO GONCALO;Falta de Atencao a Conducao;Colisao traseira;Sem Vitimas;Pleno dia
50296;2017-06-30;sexta-feira;08:15:00;RJ;101;333.0;RIO DE JANEIRO;Falta de Atencao a Conducao;Colisao lateral;Sem Vitimas;Pleno dia
53350;2017-07-10;segunda-feira;18:00:00;RJ;101;309.0;SAO GONCALO;Velocidade Incompativel;Colisao traseira;Com Vitimas Feridas;Plena Noite
56864;2017-07-24;segunda-feira;16:10:00;RJ;101;324.0;NITEROI;Falta de Atencao a Conducao;Colisao traseira;Com Vitimas Feridas;Pleno dia
57896;2017-07-29;sabado;04:40:00;RJ;101;304.0;SAO GONCALO;Condutor Dormindo;Colisao traseira;Com Vitimas Feridas;Plena Noite
59436;2017-08-04;sexta-feira;09:25:00;RJ;101;322.0;NITEROI;Falta de Atencao a Conducao;Colisao lateral;Sem Vitimas;Pleno dia
60857;2017-08-10;quinta-feira;04:10:00;RJ;101;331.0;RIO DE JANEIRO;Condutor Dormindo;Colisao traseira;Com Vitimas Feridas;Plena Noite
64096;2017-08-21;segunda-feira;18:10:00;RJ;101;311.0;SAO GONCALO;Falta de Atencao a Conducao;Colisao traseira;Com Vitimas Feridas;Plena Noite
64228;2017-08-16;quarta-feira;03:50:00;RJ;101;313.0;SAO GONCALO;Falta de Atencao a Conducao;Colisao com objeto estatico;Com Vitimas Feridas;Plena Noite
64402;2017-08-23;quarta-feira;00:30:00;RJ;101;309.2;SAO GONCALO;Falta de Atencao do Pedestre;Atropelamento de Pedestre;Com Vitimas Fatais;Plena Noite
67713;2017-09-04;segunda-feira;16:06:00;RJ;101;333.0;RIO DE JANEIRO;Defeito Mecanico no Veiculo;Colisao com objeto em movimento;Com Vitimas Feridas;Pleno dia
69599;2017-09-12;terca-feira;07:00:00;RJ;101;313.3;SAO GONCALO;Nao guardar distancia de seguranca;Queda de ocupante de veiculo;Sem Vitimas;Pleno dia
71354;2017-09-18;segunda-feira;20:50:00;RJ;101;322.0;NITEROI;Falta de Atencao a Conducao;Colisao lateral;Sem Vitimas;Plena Noite
