"id";"data_inversa";"dia_semana";"horario";"uf";"br";"km";"municipio";"causa_acidente";"tipo_acidente";"classificacao_acidente";"fase_dia";"sentido_via";"condicao_metereologica";"tipo_pista";"tracado_via";"uso_solo";"pessoas";"mortos";"feridos_leves";"feridos_graves";"ilesos";"ignorados";"feridos";"veiculos"
83452081;"30/03/16";"Quarta";"06:15:00";"RJ";101;"297";"SAO GONCALO";"Falta de atenção";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Nublado";"Dupla";"Reta";"Urbano";4;0;0;1;2;1;1;3
83452082;"26/03/16";"Sábado";"21:00:00";"MG";262;"586";"CAMPOS ALTOS";"Velocidade incompatível";"Colisão frontal";"Com Vítimas Feridas";"Plena noite";"Crescente";"Chuva";"Simples";"Curva";"Rural";4;0;2;0;2;0;2;2
83452083;"29/03/16";"Terça";"19:47:00";"SP";116;"59,3";"GUARATINGUETA";"Outras";"Colisão traseira";"Com Vítimas Feridas";"Plena noite";"Crescente";"Chuva";"Dupla";"Reta";"Rural";5;0;3;0;2;0;3;4
83452084;"30/03/16";"Quarta";"06:50:00";"SC";101;"213,3";"PALHOCA";"Outras";"Colisão Transversal";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Ceu Claro";"Dupla";"Cruzamento";"Urbano";2;0;0;1;0;1;1;2
83452085;"26/03/16";"Sábado";"19:25:00";"ES";393;"14";"MUQUI";"Falta de atenção";"Atropelamento de animal";"Com Vítimas Feridas";"Plena noite";"Decrescente";"Ceu Claro";"Simples";"Reta";"Rural";3;0;1;1;1;0;2;1
83452086;"27/03/16";"Domingo";"04:50:00";"PR";277;"525";"GUARANIACU";"Ingestão de álcool";"Saída de Pista";"Com Vítimas Fatais";"Amanhecer";"Decrescente";"Chuva";"Simples";"Curva";"Rural";5;1;0;4;0;0;4;1
83452087;"25/03/16";"Sexta";"19:40:00";"SP";116;"148";"SAO JOSE DOS CAMPOS";"Não guardar distância de segurança";"Colisão traseira";"Sem Vítimas";"Plena noite";"Decrescente";"Nublado";"Dupla";"Reta";"Urbano";2;0;0;0;2;0;0;2
83452088;"27/03/16";"Domingo";"06:15:00";"SP";116;"42,4";"CACHOEIRA PAULISTA";"Velocidade incompatível";"Atropelamento de pessoa";"Com Vítimas Feridas";"Amanhecer";"Decrescente";"Nevoeiro/neblina";"Dupla";"Reta";"Rural";7;0;0;2;5;0;2;2
83452089;"28/03/16";"Segunda";"06:30:00";"MG";40;"527,7";"CONTAGEM";"Outras";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Ceu Claro";"Múltipla";"Reta";"Urbano";4;0;2;1;1;0;3;3
83452090;"30/03/16";"Quarta";"06:30:00";"MG";381;"478,4";"CONTAGEM";"Outras";"Colisão com objeto fixo";"Sem Vítimas";"Pleno dia";"Decrescente";"Ceu Claro";"Dupla";"Reta";"Urbano";1;0;0;0;1;0;0;1
